INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I162034260,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,C6, ,,2016-05-03 03:19:00,2016,5,Tuesday,3,Part Three,,,,"(0.00000000, 0.00000000)"
I162065709,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,470,,2016-08-15 07:48:00,2016,8,Monday,7,Part Two,ALABAMA ST,42.27639356,-71.10175026,"(42.27639356, -71.10175026)"
I162055705,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,102,,2016-07-13 12:19:00,2016,7,Wednesday,12,Part Two,TREMONT ST,42.35637531,-71.06213513,"(42.35637531, -71.06213513)"
I182010073,2647,Other,THREATS TO DO BODILY HARM,E18,489,,2017-12-01 00:00:00,2017,12,Friday,0,Part Two,ROSEGLEN RD,42.26689318,-71.10898767,"(42.26689318, -71.10898767)"
I172005480,1402,Vandalism,VANDALISM,D4,150,,2017-01-21 03:00:00,2017,1,Saturday,3,Part Two,DARTMOUTH ST,42.34532565,-71.07497385,"(42.34532565, -71.07497385)"
I162032631,724,Auto Theft,AUTO THEFT,C11,451,,2016-04-26 22:00:00,2016,4,Tuesday,22,Part One,WASHINGTON ST,42.29526287,-71.07207439,"(42.29526287, -71.07207439)"
I172048501,3114,Investigate Property,INVESTIGATE PROPERTY,B2,615,,2017-06-17 12:00:00,2017,6,Saturday,12,Part Three,AVENUE LOUIS PASTEUR,42.33830258,-71.10235253,"(42.33830258, -71.10235253)"
I162060305,3115,Investigate Person,INVESTIGATE PERSON,E18,541,,2016-07-28 02:52:00,2016,7,Thursday,2,Part Three,RIVER ST,42.2533034,-71.12971806,"(42.25330340, -71.12971806)"
I162046902,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,E18,541,,2016-06-14 01:55:00,2016,6,Tuesday,1,Part Three,WINSLOW ST,42.25353031,-71.13086205,"(42.25353031, -71.13086205)"
I182069976,2647,Other,THREATS TO DO BODILY HARM,C11,355,,2018-08-30 19:22:00,2018,8,Thursday,19,Part Two,DORCHESTER AVE,42.29919694,-71.06046974,"(42.29919694, -71.06046974)"
I172085395,3115,Investigate Person,INVESTIGATE PERSON,C11,340,,2017-10-13 05:40:10,2017,10,Friday,5,Part Three,FOX ST,42.30665904,-71.06256742,"(42.30665904, -71.06256742)"
I162036779,619,Larceny,LARCENY ALL OTHERS,D14,805,,2016-05-10 17:30:00,2016,5,Tuesday,17,Part One,LEO M BIRMINGHAM PKWY,42.35987019,-71.14680305,"(42.35987019, -71.14680305)"
I162014641,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,249,,2016-02-24 13:23:00,2016,2,Wednesday,13,Part Three,TUTTLE ST,42.31351886,-71.053563,"(42.31351886, -71.05356300)"
I182038041,2612,Fire Related Reports,FIRE REPORT/ALARM - FALSE,E13,637,,2018-05-19 02:25:00,2018,5,Saturday,2,Part Two,ROSEWAY ST,42.31869426,-71.11116591,"(42.31869426, -71.11116591)"
I182041459,3810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING  BICYCLE - INJURY,A1, ,,2018-05-25 08:45:00,2018,5,Friday,8,Part Three,CAMBRIDGE ST,,,"(0.00000000, 0.00000000)"
I162081711,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3, ,,2016-10-06 04:20:00,2016,10,Thursday,4,Part Two,,,,"(0.00000000, 0.00000000)"
I182038449,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,131,,2018-05-19 23:15:00,2018,5,Saturday,23,Part One,MARLBOROUGH ST,42.3531455,-71.07763936,"(42.35314550, -71.07763936)"
I162035068,3115,Investigate Person,INVESTIGATE PERSON,D4,591,,2016-05-06 02:09:00,2016,5,Friday,2,Part Three,HEMENWAY ST,42.34428082,-71.08982188,"(42.34428082, -71.08982188)"
I172053066,3207,Property Found,PROPERTY - FOUND,D14,775,,2017-07-01 16:05:00,2017,7,Saturday,16,Part Three,CHESTNUT HILL AVE,42.34277452,-71.15374397,"(42.34277452, -71.15374397)"
I172009740,1402,Vandalism,VANDALISM,E5,685,,2017-02-04 23:00:00,2017,2,Saturday,23,Part Two,WASHINGTON ST,42.27800645,-71.13733723,"(42.27800645, -71.13733723)"
I182007073,3410,Towed,TOWED MOTOR VEHICLE,A1,87,,2018-01-27 11:43:00,2018,1,Saturday,11,Part Three,NORTH ST,42.36559712,-71.05162615,"(42.36559712, -71.05162615)"
I182070590,301,Robbery,ROBBERY - STREET,, ,,2018-09-02 02:00:00,2018,9,Sunday,2,Part One,,42.34863242,-71.06553747,"(42.34863242, -71.06553747)"
I152094824,3115,Investigate Person,INVESTIGATE PERSON,C11,348,,2015-11-15 03:06:00,2015,11,Sunday,3,Part Three,DORCHESTER AVE,42.30559368,-71.05887861,"(42.30559368, -71.05887861)"
I182029602,613,Larceny,LARCENY SHOPLIFTING,D4,168,,2018-04-20 16:00:00,2018,4,Friday,16,Part One,WASHINGTON ST,42.33816387,-71.07461217,"(42.33816387, -71.07461217)"
I162040059,3115,Investigate Person,INVESTIGATE PERSON,C11,387,,2016-05-22 19:56:00,2016,5,Sunday,19,Part Three,ADAMS ST,42.2793449,-71.05928084,"(42.27934490, -71.05928084)"
I172007405,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E13,570,,2017-01-27 17:56:00,2017,1,Friday,17,Part Two,ROCKVALE CIR,42.30734156,-71.1054409,"(42.30734156, -71.10544090)"
I172094722,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,317,,2017-11-13 01:12:00,2017,11,Monday,1,Part Three,HOMESTEAD ST,42.31127726,-71.08909334,"(42.31127726, -71.08909334)"
I172100000,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,420,,2017-12-02 07:27:00,2017,12,Saturday,7,Part Three,W SELDEN ST,42.27967492,-71.08381263,"(42.27967492, -71.08381263)"
I172043597,3301,Verbal Disputes,VERBAL DISPUTE,B3,455,,2017-06-02 07:29:00,2017,6,Friday,7,Part Three,TRINITY TER,42.30129234,-71.0780698,"(42.30129234, -71.07806980)"
I172022090,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,490,,2017-03-20 20:30:00,2017,3,Monday,20,Part Three,WOOD AVE,42.27127997,-71.11028729,"(42.27127997, -71.11028729)"
I182062618,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C11,342,,2018-07-31 00:00:00,2018,7,Tuesday,0,Part Two,GENEVA AVE,42.30209614,-71.06922842,"(42.30209614, -71.06922842)"
I152054340,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,C11,959,,2015-07-01 13:19:00,2015,7,Wednesday,13,Part Two,DORCHESTER AVE,42.28717863,-71.06390668,"(42.28717863, -71.06390668)"
I172008518,617,Larceny,LARCENY THEFT FROM BUILDING,E18,784,,2017-01-31 17:32:00,2017,1,Tuesday,17,Part One,WARREN ST,42.34988575,-71.14522971,"(42.34988575, -71.14522971)"
I172105996,3301,Verbal Disputes,VERBAL DISPUTE,B3,450,,2017-12-24 08:47:00,2017,12,Sunday,8,Part Three,TALBOT AVE,42.29041538,-71.07269542,"(42.29041538, -71.07269542)"
I182036067,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,903,,2018-05-11 22:45:00,2018,5,Friday,22,Part Three,HAMMOND ST,42.33705178,-71.08376738,"(42.33705178, -71.08376738)"
I172047807,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,280,,2017-06-14 17:50:00,2017,6,Wednesday,17,Part Two,WASHINGTON ST,42.33094752,-71.08285104,"(42.33094752, -71.08285104)"
I162064525,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,771,,2016-08-10 13:30:00,2016,8,Wednesday,13,Part Three,CHESTNUT HILL AVE,42.34829397,-71.15383416,"(42.34829397, -71.15383416)"
I172083903,1402,Vandalism,VANDALISM,A1,111,,2017-10-08 07:12:00,2017,10,Sunday,7,Part Two,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I152082187,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B2,314,,2017-03-31 00:00:00,2017,3,Friday,0,Part Two,HOWLAND ST,42.3144484,-71.08993418,"(42.31444840, -71.08993418)"
I162019408,3111,License Violation,LICENSE PREMISE VIOLATION,A1, ,,2016-03-12 16:35:00,2016,3,Saturday,16,Part Three,,,,"(0.00000000, 0.00000000)"
I152071311,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,A7,14,,2015-08-28 02:00:00,2015,8,Friday,2,Part Two,BYRON ST,42.38439979,-71.01832187,"(42.38439979, -71.01832187)"
I172014033,3115,Investigate Person,INVESTIGATE PERSON,B3,417,,2017-02-20 20:41:00,2017,2,Monday,20,Part Three,ARMANDINE ST,42.28431486,-71.07410838,"(42.28431486, -71.07410838)"
I172081251,3115,Investigate Person,INVESTIGATE PERSON,C11,388,,2017-09-26 23:29:00,2017,9,Tuesday,23,Part Three,ADAMS ST,42.27230624,-71.06721386,"(42.27230624, -71.06721386)"
I162088381,3114,Investigate Property,INVESTIGATE PROPERTY,D14,794,,2016-10-28 18:05:00,2016,10,Friday,18,Part Three,PRICE RD,42.34980866,-71.13513832,"(42.34980866, -71.13513832)"
I152070555,3115,Investigate Person,INVESTIGATE PERSON,A7,25,,2015-08-25 18:32:00,2015,8,Tuesday,18,Part Three,W EAGLE ST,42.38135785,-71.03768163,"(42.38135785, -71.03768163)"
I162086460,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,444,Y,2016-10-22 00:52:00,2016,10,Saturday,0,Part One,ABBOT ST,42.29686162,-71.08584183,"(42.29686162, -71.08584183)"
I172013815,613,Larceny,LARCENY SHOPLIFTING,A1,112,,2017-02-20 07:19:00,2017,2,Monday,7,Part One,WASHINGTON ST,42.35272948,-71.06256291,"(42.35272948, -71.06256291)"
I172057700,3501,Missing Person Reported,MISSING PERSON,B3,422,,2017-07-16 23:43:00,2017,7,Sunday,23,Part Three,RIVER ST,42.27132363,-71.08183509,"(42.27132363, -71.08183509)"
I182029563,2647,Other,THREATS TO DO BODILY HARM,D14,811,,2018-04-20 14:46:00,2018,4,Friday,14,Part Two,WESTFORD PL,42.36225823,-71.13438762,"(42.36225823, -71.13438762)"
I162021866,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,D14,782,,2016-03-21 00:54:00,2016,3,Monday,0,Part Three,CAMBRIDGE ST,42.351627,-71.142983,"(42.35162700, -71.14298300)"
I172013276,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,117,,2017-02-17 22:45:00,2017,2,Friday,22,Part One,BOYLSTON ST,42.3523119,-71.0637051,"(42.35231190, -71.06370510)"
I182051133,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E18,498,,2018-06-29 19:42:00,2018,6,Friday,19,Part Two,HYDE PARK AVE,42.27205742,-71.12024554,"(42.27205742, -71.12024554)"
I172006231,617,Larceny,LARCENY THEFT FROM BUILDING,A1,76,,2017-01-20 07:00:00,2017,1,Friday,7,Part One,NEW CHARDON ST,42.36370521,-71.0587168,"(42.36370521, -71.05871680)"
I172054342,3115,Investigate Person,INVESTIGATE PERSON,D4,273,,2017-07-05 19:56:00,2017,7,Wednesday,19,Part Three,MASSACHUSETTS AVE,42.3368915,-71.077551,"(42.33689150, -71.07755100)"
I162017302,3807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,A1,63,,2016-03-04 21:37:00,2016,3,Friday,21,Part Three,WHITTIER PL,42.3656254,-71.06725853,"(42.36562540, -71.06725853)"
I182015759,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,B2,282,,2018-02-28 21:02:00,2018,2,Wednesday,21,Part Two,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
I152095855,2610,Other,TRESPASSING,A1,127,,2015-11-18 19:45:00,2015,11,Wednesday,19,Part Two,WASHINGTON ST,42.34788341,-71.06437688,"(42.34788341, -71.06437688)"
I172104023,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,312,,2017-12-16 18:04:00,2017,12,Saturday,18,Part Three,HAROLD ST,42.31688606,-71.0900119,"(42.31688606, -71.09001190)"
I182013947,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,B2,328,,2018-02-22 07:53:00,2018,2,Thursday,7,Part Two,GREENHEYS ST,42.31150724,-71.07466948,"(42.31150724, -71.07466948)"
I162017670,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A15,38,,2016-03-06 04:00:00,2016,3,Sunday,4,Part One,EIGHTH ST,42.37474921,-71.05270605,"(42.37474921, -71.05270605)"
I172028698,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,64,,2017-04-13 08:00:00,2017,4,Thursday,8,Part One,CHARLES ST,42.36339723,-71.07022378,"(42.36339723, -71.07022378)"
I152098170,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,D4, ,,2015-11-27 11:27:00,2015,11,Friday,11,Part Three,,,,"(0.00000000, 0.00000000)"
I172039865,2405,Disorderly Conduct,DISORDERLY CONDUCT,D4,171,,2017-05-20 15:33:00,2017,5,Saturday,15,Part Two,ALBANY ST,42.33428841,-71.07239518,"(42.33428841, -71.07239518)"
I162066366,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,B3,465,,2016-08-16 20:37:00,2016,8,Tuesday,20,Part Three,MORTON ST,42.28621298,-71.09330084,"(42.28621298, -71.09330084)"
I162103875,3114,Investigate Property,INVESTIGATE PROPERTY,, ,,2016-12-21 16:06:00,2016,12,Wednesday,16,Part Three,BATCHELDER,-1.0,-1.0,"(-1.00000000, -1.00000000)"
I172045425,3125,Warrant Arrests,WARRANT ARREST,B2,310,,2017-06-08 09:41:00,2017,6,Thursday,9,Part Three,MARTIN LUTHER KING JR BLV,42.31847226,-71.08409289,"(42.31847226, -71.08409289)"
I172086595,3007,Medical Assistance,SUDDEN DEATH,D4,146,,2017-10-17 08:34:00,2017,10,Tuesday,8,Part Three,HUNTINGTON AVE,42.3473098,-71.07915167,"(42.34730980, -71.07915167)"
I162003883,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,235,,2016-01-15 01:14:00,2016,1,Friday,1,Part Three,CARSON ST,42.3197573,-71.05428941,"(42.31975730, -71.05428941)"
I182028605,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B2,267,,2018-04-17 10:50:00,2018,4,Tuesday,10,Other,FOREST ST,42.32681883,-71.07779112,"(42.32681883, -71.07779112)"
I152088913,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,B3,465,,2015-10-26 18:59:00,2015,10,Monday,18,Part Two,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
I162015431,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E18, ,,2016-02-27 05:56:00,2016,2,Saturday,5,Part Three,,,,"(0.00000000, 0.00000000)"
I162102763,619,Larceny,LARCENY ALL OTHERS,D14,798,,2016-12-02 00:00:00,2016,12,Friday,0,Part One,BABCOCK ST,42.35269523,-71.12109586,"(42.35269523, -71.12109586)"
I162075614,3115,Investigate Person,INVESTIGATE PERSON,C11,380,,2016-09-16 10:38:00,2016,9,Friday,10,Part Three,ROSARIA ST,42.28654114,-71.04981983,"(42.28654114, -71.04981983)"
I162082291,3114,Investigate Property,INVESTIGATE PROPERTY,B3,445,,2016-10-07 21:59:00,2016,10,Friday,21,Part Three,GREENWOOD ST,42.29716347,-71.07954018,"(42.29716347, -71.07954018)"
I162023144,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,D4, ,,2016-03-25 12:20:00,2016,3,Friday,12,Part Three,,,,"(0.00000000, 0.00000000)"
I152095574,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,578,,2015-11-17 08:25:00,2015,11,Tuesday,8,Part One,SHERIDAN ST,42.32008171,-71.10663225,"(42.32008171, -71.10663225)"
