INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I162023234,3807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,D14, ,,2016-03-25 18:46:00,2016,3,Friday,18,Part Three,,,,"(0.00000000, 0.00000000)"
I172010062,3205,License Plate Related Incidents,M/V PLATES - LOST,E18,492,,2017-01-31 17:55:00,2017,1,Tuesday,17,Part Three,HUNTINGTON AVE,42.26560754,-71.11608448,"(42.26560754, -71.11608448)"
I172015747,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,113,,2017-02-26 18:38:00,2017,2,Sunday,18,Part Three,SUMMER ST,42.35426247,-71.05883334,"(42.35426247, -71.05883334)"
I162047916,3502,Missing Person Located,MISSING PERSON - LOCATED,D4,273,,2016-06-16 17:45:00,2016,6,Thursday,17,Part Three,MASSACHUSETTS AVE,42.33755715,-71.07836018,"(42.33755715, -71.07836018)"
I152106592,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,385,,2015-12-26 20:52:00,2015,12,Saturday,20,Part Three,HALLET ST,42.28076737,-71.04736497,"(42.28076737, -71.04736497)"
I162074073,617,Larceny,LARCENY THEFT FROM BUILDING,B3,457,,2016-09-11 10:29:00,2016,9,Sunday,10,Part One,FOWLER ST,42.30006755,-71.0833691,"(42.30006755, -71.08336910)"
I172061962,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,312,,2017-07-30 15:08:23,2017,7,Sunday,15,Part Three,TOWNSEND ST,42.31788176,-71.08911975,"(42.31788176, -71.08911975)"
I172068297,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,A1,91,,2017-08-18 23:00:00,2017,8,Friday,23,Part Three,FULTON ST,42.36238463,-71.05316216,"(42.36238463, -71.05316216)"
I172027499,3111,License Violation,LICENSE PREMISE VIOLATION,E5,720,,2017-04-09 01:58:00,2017,4,Sunday,1,Part Three,CENTRE ST,42.28067898,-71.15817457,"(42.28067898, -71.15817457)"
I182029750,2403,Disorderly Conduct,DISTURBING THE PEACE,C11,364,,2018-04-21 02:44:20,2018,4,Saturday,2,Part Two,CENTRE ST,42.29472426,-71.057981,"(42.29472426, -71.05798100)"
I162001472,3207,Property Found,PROPERTY - FOUND,D4,161,,2016-01-06 09:50:00,2016,1,Wednesday,9,Part Three,TREMONT ST,42.345903,-71.06946322,"(42.34590300, -71.06946322)"
I172081481,3502,Missing Person Located,MISSING PERSON - LOCATED,A1,954,,2017-09-30 00:14:00,2017,9,Saturday,0,Part Three,FULTON ST,42.36293611,-71.05253795,"(42.36293611, -71.05253795)"
I182048767,3115,Investigate Person,INVESTIGATE PERSON,A15,52,,2018-06-22 11:18:00,2018,6,Friday,11,Part Three,HOLBORN ST,42.31407167,-71.08010711,"(42.31407167, -71.08010711)"
I172006019,3207,Property Found,PROPERTY - FOUND,C6,193,,2017-01-23 08:30:00,2017,1,Monday,8,Part Three,PREBLE ST,42.32922503,-71.05424964,"(42.32922503, -71.05424964)"
I182069894,2647,Other,THREATS TO DO BODILY HARM,C11,352,,2018-08-31 10:25:00,2018,8,Friday,10,Part Two,DORCHESTER AVE,42.30114533,-71.05991447,"(42.30114533, -71.05991447)"
I172034769,3201,Property Lost,PROPERTY - LOST,D14,793,,2017-05-03 17:48:00,2017,5,Wednesday,17,Part Three,COMMONWEALTH AVE,42.34838862,-71.13455322,"(42.34838862, -71.13455322)"
I182058647,2610,Other,TRESPASSING,C6,178,,2018-07-25 12:51:00,2018,7,Wednesday,12,Part Two,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
I182028561,3805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,E13,510,,2018-04-17 09:20:00,2018,4,Tuesday,9,Part Three,MORTON ST,42.30056444,-71.11016791,"(42.30056444, -71.11016791)"
I182048413,613,Larceny,LARCENY SHOPLIFTING,D14,763,,2018-06-21 08:57:00,2018,6,Thursday,8,Part One,WASHINGTON ST,42.34910076,-71.1561239,"(42.34910076, -71.15612390)"
I162099639,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,162,,2016-12-06 17:00:00,2016,12,Tuesday,17,Part One,HARRISON AVE,42.34493428,-71.06366374,"(42.34493428, -71.06366374)"
I172084404,619,Larceny,LARCENY ALL OTHERS,B3,435,,2017-10-10 08:20:00,2017,10,Tuesday,8,Part One,DUNBAR AVE,42.28643911,-71.07163064,"(42.28643911, -71.07163064)"
I152075328,2629,Harassment,HARASSMENT,E18,516,,2015-09-10 19:50:00,2015,9,Thursday,19,Part Two,SUMMIT ST,42.24875808,-71.11522821,"(42.24875808, -71.11522821)"
I182036583,3114,Investigate Property,INVESTIGATE PROPERTY,B3,468,,2018-05-14 13:53:00,2018,5,Monday,13,Part Three,WELLINGTON HILL ST,42.27965686,-71.09337672,"(42.27965686, -71.09337672)"
I182000008,301,Robbery,ROBBERY - STREET,A1, ,,2017-12-31 00:00:00,2017,12,Sunday,0,Part One,SCHOOL ST,,,"(0.00000000, 0.00000000)"
I162057860,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,521,,2016-07-20 12:32:00,2016,7,Wednesday,12,Part One,FAIRMOUNT AVE,42.2539599,-71.11962283,"(42.25395990, -71.11962283)"
I152086359,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,82,,2015-10-17 12:50:00,2015,10,Saturday,12,Part Three,COMMERCIAL ST,42.3675892,-71.0575884,"(42.36758920, -71.05758840)"
I162090025,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,A15,58,,2016-11-03 10:05:00,2016,11,Thursday,10,Part Three,AUSTIN ST,42.37479451,-71.06600871,"(42.37479451, -71.06600871)"
I172100233,3301,Verbal Disputes,VERBAL DISPUTE,A15,900,,2017-12-02 23:03:00,2017,12,Saturday,23,Part Three,O'REILLY WAY,42.37789565,-71.05840764,"(42.37789565, -71.05840764)"
I152095505,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,D4, ,,2015-11-17 15:55:00,2015,11,Tuesday,15,Part Three,,,,"(0.00000000, 0.00000000)"
I162057531,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,E18,523,,2016-07-19 14:20:00,2016,7,Tuesday,14,Part Two,HYDE PARK AVE,42.24260011,-71.13035022,"(42.24260011, -71.13035022)"
I182018425,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,E18,524,,2018-03-10 21:00:00,2018,3,Saturday,21,Part One,FARADAY ST,42.24288459,-71.12255206,"(42.24288459, -71.12255206)"
I182002703,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,265,,2018-01-05 13:00:00,2018,1,Friday,13,Part Three,WAVERLY ST,42.32132788,-71.08105509,"(42.32132788, -71.08105509)"
I162014134,2604,Other,EXTORTION OR BLACKMAIL,B3,455,,2016-02-22 14:41:00,2016,2,Monday,14,Part Two,RADCLIFFE ST,42.30020194,-71.07835353,"(42.30020194, -71.07835353)"
I172090274,3201,Property Lost,PROPERTY - LOST,C6, ,,2017-10-28 21:18:00,2017,10,Saturday,21,Part Three,,,,"(0.00000000, 0.00000000)"
I162004291,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E13,579,,2016-01-15 13:30:00,2016,1,Friday,13,Part One,ASHLEY ST,42.32082224,-71.103724,"(42.32082224, -71.10372400)"
I162000583,1402,Vandalism,VANDALISM,A15,41,,2016-01-02 18:30:00,2016,1,Saturday,18,Part Two,FERRIN ST,42.3758558,-71.05659842,"(42.37585580, -71.05659842)"
I172098588,617,Larceny,LARCENY THEFT FROM BUILDING,D4,624,,2017-11-27 15:33:00,2017,11,Monday,15,Part One,PETERBOROUGH ST,42.34402604,-71.09615503,"(42.34402604, -71.09615503)"
I172057900,3201,Property Lost,PROPERTY - LOST,A1,119,,2017-07-17 13:00:00,2017,7,Monday,13,Part Three,PARK ST,,,"(0.00000000, 0.00000000)"
I172092458,3125,Warrant Arrests,WARRANT ARREST,E18,542,,2017-11-05 00:56:00,2017,11,Sunday,0,Part Three,BUSINESS ST,42.2519746,-71.128736,"(42.25197460, -71.12873600)"
I162102934,1402,Vandalism,VANDALISM,E18,499,,2016-12-17 19:30:00,2016,12,Saturday,19,Part Two,AMERICAN LEGION HWY,42.27810693,-71.11636523,"(42.27810693, -71.11636523)"
I182057713,3301,Verbal Disputes,VERBAL DISPUTE,B3,944,,2018-07-22 12:06:00,2018,7,Sunday,12,Part Three,AMES ST,42.28956988,-71.08510501,"(42.28956988, -71.08510501)"
I182001071,3125,Warrant Arrests,WARRANT ARREST,A1,63,,2018-01-05 10:18:00,2018,1,Friday,10,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I172031918,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,394,,2017-04-24 09:15:00,2017,4,Monday,9,Part One,BUSHNELL ST,42.2833382,-71.06230407,"(42.28333820, -71.06230407)"
I182017847,3114,Investigate Property,INVESTIGATE PROPERTY,E13,912,,2018-03-08 21:01:00,2018,3,Thursday,21,Part Three,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)"
I172081235,1402,Vandalism,VANDALISM,B3,426,,2017-09-28 20:15:00,2017,9,Thursday,20,Part Two,BLUE HILL AVE,42.26909851,-71.09361458,"(42.26909851, -71.09361458)"
I172072238,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,C6, ,,2017-08-31 17:40:00,2017,8,Thursday,17,Part Three,,,,"(0.00000000, 0.00000000)"
I172006290,3115,Investigate Person,INVESTIGATE PERSON,B3, ,,2017-01-24 08:36:00,2017,1,Tuesday,8,Part Three,,,,"(0.00000000, 0.00000000)"
I172087504,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",E18,533,,2017-10-19 21:27:00,2017,10,Thursday,21,Part Three,RIVER ST,42.25120821,-71.13095369,"(42.25120821, -71.13095369)"
I162005972,613,Larceny,LARCENY SHOPLIFTING,A1,66,,2016-01-22 17:36:00,2016,1,Friday,17,Part One,CHARLES ST,42.35913227,-71.07074326,"(42.35913227, -71.07074326)"
I162076127,3125,Warrant Arrests,WARRANT ARREST,A1, ,,2016-09-17 22:05:00,2016,9,Saturday,22,Part Three,,,,"(0.00000000, 0.00000000)"
I152076515,1874,Drug Violation,DRUGS - OTHER,E13,510,,2015-09-14 18:10:00,2015,9,Monday,18,Part Two,TOWER ST,42.29993437,-71.11355693,"(42.29993437, -71.11355693)"
I182052176,3125,Warrant Arrests,WARRANT ARREST,B2,280,,2018-07-03 12:23:00,2018,7,Tuesday,12,Part Three,MARTIN LUTHER KING JR BLV,42.31860134,-71.08405792,"(42.31860134, -71.08405792)"
I172084003,617,Larceny,LARCENY THEFT FROM BUILDING,A1,108,,2017-10-08 17:02:00,2017,10,Sunday,17,Part One,HIGH ST,42.35407456,-71.05533533,"(42.35407456, -71.05533533)"
I162003221,1870,Drug Violation,DRUGS - CONSP TO VIOL CONTROLLED SUBSTANCE,C11,254,,2016-01-12 16:21:00,2016,1,Tuesday,16,Part Two,DORCHESTER AVE,42.30947615,-71.05800088,"(42.30947615, -71.05800088)"
I172083688,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,458,,2017-10-07 13:42:00,2017,10,Saturday,13,Part Two,ERIE ST,42.30153144,-71.08257819,"(42.30153144, -71.08257819)"
I182021895,361,Robbery,ROBBERY - OTHER,E18,940,,2018-03-24 00:47:36,2018,3,Saturday,0,Part One,NEWACRE RD,42.24550885,-71.11889368,"(42.24550885, -71.11889368)"
I162003915,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,B2,586,,2016-01-15 08:18:00,2016,1,Friday,8,Part Two,NEW HEATH ST,42.326372,-71.09971,"(42.32637200, -71.09971000)"
I172028026,3114,Investigate Property,INVESTIGATE PROPERTY,, ,,2017-04-11 02:21:00,2017,4,Tuesday,2,Part Three,COAST GUARD BASE,-1.0,-1.0,"(-1.00000000, -1.00000000)"
I182008908,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,85,,2018-02-03 03:51:00,2018,2,Saturday,3,Part Two,N MARGIN ST,42.36490476,-71.05671873,"(42.36490476, -71.05671873)"
I162010201,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,320,,2016-02-07 08:15:00,2016,2,Sunday,8,Part Two,CHENEY ST,42.30882778,-71.0841498,"(42.30882778, -71.08414980)"
I162009790,2906,Violations,VAL - OPERATING UNREG/UNINS  CAR,E13,571,,2016-02-05 14:38:00,2016,2,Friday,14,Part Two,FOREST HILLS ST,42.31134205,-71.10166558,"(42.31134205, -71.10166558)"
I182061372,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,774,,2018-08-02 19:45:00,2018,8,Thursday,19,Part One,STRATHMORE RD,42.34025279,-71.15447536,"(42.34025279, -71.15447536)"
I162004122,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,219,,2016-01-15 19:42:00,2016,1,Friday,19,Part Three,E EIGHTH ST,42.33129177,-71.04539502,"(42.33129177, -71.04539502)"
I172003307,3501,Missing Person Reported,MISSING PERSON,E5,729,,2017-01-13 07:21:00,2017,1,Friday,7,Part Three,VFW PKWY,42.28536992,-71.17244016,"(42.28536992, -71.17244016)"
I162059185,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7, ,,2016-07-25 02:15:00,2016,7,Monday,2,Part Three,,42.3784358,-71.02886999,"(42.37843580, -71.02886999)"
I182044214,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,915,,2018-06-07 22:55:00,2018,6,Thursday,22,Part Two,E NINTH ST,42.33214285,-71.05121359,"(42.33214285, -71.05121359)"
I162050011,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,119,,2016-06-23 19:33:00,2016,6,Thursday,19,Part Two,PARK ST,42.35650174,-71.0619996,"(42.35650174, -71.06199960)"
I162041428,3410,Towed,TOWED MOTOR VEHICLE,C6,234,,2016-05-27 07:31:00,2016,5,Friday,7,Part Three,L ST,42.33106756,-71.03524534,"(42.33106756, -71.03524534)"
I162061554,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,B3,463,,2016-08-01 14:31:00,2016,8,Monday,14,Part Three,AMERICAN LEGION HWY,42.29794983,-71.08774413,"(42.29794983, -71.08774413)"
I162078920,611,Larceny,LARCENY PICK-POCKET,B2,288,,2016-09-26 18:45:00,2016,9,Monday,18,Part One,WASHINGTON ST,42.32925905,-71.08482402,"(42.32925905, -71.08482402)"
I162095649,3410,Towed,TOWED MOTOR VEHICLE,E18,524,,2016-11-22 14:20:00,2016,11,Tuesday,14,Part Three,NEEDHAM RD,42.24249788,-71.12326854,"(42.24249788, -71.12326854)"
I162036410,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,328,,2016-05-20 16:00:00,2016,5,Friday,16,Part Two,COLUMBIA RD,42.30876959,-71.07460717,"(42.30876959, -71.07460717)"
I172107303,617,Larceny,LARCENY THEFT FROM BUILDING,B2,593,,2017-12-30 08:09:00,2017,12,Saturday,8,Part One,FRANCIS ST,42.33606304,-71.10782832,"(42.33606304, -71.10782832)"
I162014513,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,466,,2016-02-23 22:08:00,2016,2,Tuesday,22,Part Three,DEERING RD,42.28414025,-71.09305138,"(42.28414025, -71.09305138)"
I162093021,2629,Harassment,HARASSMENT,A7,12,,2016-11-13 16:25:00,2016,11,Sunday,16,Part Two,BOARDMAN ST,42.387128,-71.008099,"(42.38712800, -71.00809900)"
I162096178,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,335,,2016-11-24 19:52:00,2016,11,Thursday,19,Part Two,BARRY ST,42.30870401,-71.06844484,"(42.30870401, -71.06844484)"
I182008784,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,D4,594,,2018-02-01 21:05:00,2018,2,Thursday,21,Part Two,SAINT BOTOLPH ST,42.3414751,-71.08495034,"(42.34147510, -71.08495034)"
I182014165,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,441,,2018-02-23 00:43:00,2018,2,Friday,0,Part Three,NIGHTINGALE ST,42.29540175,-71.08237834,"(42.29540175, -71.08237834)"
I162042752,3115,Investigate Person,INVESTIGATE PERSON,A1,100,,2016-05-31 17:21:00,2016,5,Tuesday,17,Part Three,STATE ST,42.35902548,-71.05567996,"(42.35902548, -71.05567996)"
I172051649,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,736,,2017-06-25 17:30:00,2017,6,Sunday,17,Part Three,CENTRE ST,42.285946,-71.1553982,"(42.28594600, -71.15539820)"
I182002447,1415,Vandalism,GRAFFITI,E18,504,,2018-01-10 12:31:00,2018,1,Wednesday,12,Part Two,WYVERN ST,42.2878734,-71.11636811,"(42.28787340, -71.11636811)"
I182041193,3201,Property Lost,PROPERTY - LOST,B2,293,,2017-05-29 12:09:00,2017,5,Monday,12,Part Three,LOGAN ST,42.32610373,-71.09042875,"(42.32610373, -71.09042875)"
I182044671,3208,Property Lost,PROPERTY - MISSING,A1,127,,2018-06-09 11:12:00,2018,6,Saturday,11,Part Three,WASHINGTON ST,42.34876087,-71.06408261,"(42.34876087, -71.06408261)"
I162058454,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,270,,2016-07-22 14:09:00,2016,7,Friday,14,Part Three,HARRISON AVE,42.33444882,-71.0757421,"(42.33444882, -71.07574210)"
I182070453,1402,Vandalism,VANDALISM,E5,562,,2018-09-02 02:00:00,2018,9,Sunday,2,Part Two,WASHINGTON ST,42.28788933,-71.12658585,"(42.28788933, -71.12658585)"
I162004469,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,C6,221,,2016-01-17 03:19:00,2016,1,Sunday,3,Part Three,E BROADWAY,42.33554421,-71.0407501,"(42.33554421, -71.04075010)"
I172068331,3115,Investigate Person,INVESTIGATE PERSON,D4,598,,2017-08-18 00:00:00,2017,8,Friday,0,Part Three,DALTON ST,42.34634313,-71.08482013,"(42.34634313, -71.08482013)"
I162060103,2005,Offenses Against Child / Family,CHILD ENDANGERMENT,B3,451,,2016-07-27 17:53:00,2016,7,Wednesday,17,Part Two,PARK ST,42.29489887,-71.07563537,"(42.29489887, -71.07563537)"
I162102376,3125,Warrant Arrests,WARRANT ARREST,A7,17,,2016-12-16 10:44:00,2016,12,Friday,10,Part Three,PRINCETON ST,42.38043397,-71.02817842,"(42.38043397, -71.02817842)"
I182066805,2616,Other,POSSESSION OF BURGLARIOUS TOOLS,A1,126,,2018-08-21 08:20:00,2018,8,Tuesday,8,Part Two,CHURCH ST,42.34826633,-71.06753338,"(42.34826633, -71.06753338)"
I182002195,617,Larceny,LARCENY THEFT FROM BUILDING,A1,125,,2018-01-09 15:15:00,2018,1,Tuesday,15,Part One,STUART ST,42.35064439,-71.06811584,"(42.35064439, -71.06811584)"
I162075104,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6, ,,2016-09-14 16:02:00,2016,9,Wednesday,16,Part Three,,,,"(0.00000000, 0.00000000)"
I162103347,3115,Investigate Person,INVESTIGATE PERSON,E18,533,,2016-12-19 17:55:00,2016,12,Monday,17,Part Three,WESTINGHOUSE PLZ,42.24422964,-71.13251945,"(42.24422964, -71.13251945)"
I172050322,2629,Harassment,HARASSMENT,D14,772,,2017-06-22 15:30:00,2017,6,Thursday,15,Part Two,ACADEMY HILL RD,42.34617617,-71.15448684,"(42.34617617, -71.15448684)"
I182070567,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,, ,,2018-09-02 14:25:00,2018,9,Sunday,14,Part Two,,42.34834528,-71.1499187,"(42.34834528, -71.14991870)"
I182066770,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,577,,2018-08-21 00:22:00,2018,8,Tuesday,0,Part Three,WASHINGTON ST,42.31538436,-71.09870021,"(42.31538436, -71.09870021)"
I182019732,3130,Search Warrants,SEARCH WARRANT,D14,778,,2018-03-16 05:32:00,2018,3,Friday,5,Part Three,SPARHAWK ST,42.35147715,-71.15143461,"(42.35147715, -71.15143461)"
I182009954,3403,Police Service Incidents,PROTECTIVE CUSTODY / SAFEKEEPING,E18,515,,2018-02-07 01:16:18,2018,2,Wednesday,1,Part Three,WILLIAMS AVE,42.24704871,-71.11544426,"(42.24704871, -71.11544426)"
I182026278,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B3,427,,2018-04-09 00:40:00,2018,4,Monday,0,Part Two,BABSON ST,42.27647573,-71.09256906,"(42.27647573, -71.09256906)"
I162067196,1304,Recovered Stolen Property,PROPERTY - STOLEN THEN RECOVERED,D4,166,,2016-08-19 12:30:00,2016,8,Friday,12,Part Two,WASHINGTON ST,42.34108936,-71.07020569,"(42.34108936, -71.07020569)"
I152095169,1831,Drug Violation,DRUGS - SICK ASSIST - OTHER NARCOTIC,D4, ,,2015-11-16 14:11:12,2015,11,Monday,14,Part Two,,,,"(0.00000000, 0.00000000)"
I152078041,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A7,34,,2015-09-19 16:24:00,2015,9,Saturday,16,Part One,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I162030633,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,C11,355,,2016-04-20 15:03:00,2016,4,Wednesday,15,Part Two,PARKMAN ST,42.29709649,-71.05734054,"(42.29709649, -71.05734054)"
I172041427,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,201,,2017-05-25 17:57:00,2017,5,Thursday,17,Part Three,B ST,42.34079771,-71.05392145,"(42.34079771, -71.05392145)"
I152069457,3501,Missing Person Reported,MISSING PERSON,E5,822,,2015-08-21 22:00:00,2015,8,Friday,22,Part Three,GEORGETOWNE DR,42.25943465,-71.14798064,"(42.25943465, -71.14798064)"
I182023350,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C6,173,,2018-03-21 00:00:00,2018,3,Wednesday,0,Part Two,DORCHESTER AVE,42.34210856,-71.05720719,"(42.34210856, -71.05720719)"
I162049185,2629,Harassment,HARASSMENT,D4,623,,2016-06-20 22:23:00,2016,6,Monday,22,Part Two,NEWBURY ST,42.34805092,-71.09389963,"(42.34805092, -71.09389963)"
I162034168,3410,Towed,TOWED MOTOR VEHICLE,B2,320,,2016-05-02 17:39:00,2016,5,Monday,17,Part Three,MAPLE ST,42.30978746,-71.08503096,"(42.30978746, -71.08503096)"
I182009056,311,Robbery,ROBBERY - COMMERCIAL,A1,75,,2018-02-03 18:45:00,2018,2,Saturday,18,Part One,PORTLAND ST,42.3642384,-71.06165515,"(42.36423840, -71.06165515)"
I162063143,3410,Towed,TOWED MOTOR VEHICLE,D4,149,,2016-08-06 17:05:00,2016,8,Saturday,17,Part Three,COLUMBUS AVE,42.3440235,-71.077549,"(42.34402350, -71.07754900)"
I172077229,3115,Investigate Person,INVESTIGATE PERSON,B2,566,,2017-09-16 21:59:00,2017,9,Saturday,21,Part Three,BLUE HILL AVE,42.30391522,-71.08510251,"(42.30391522, -71.08510251)"
I172080057,613,Larceny,LARCENY SHOPLIFTING,B3,476,,2017-09-25 17:25:00,2017,9,Monday,17,Part One,BLUE HILL AVE,42.26994732,-71.09380308,"(42.26994732, -71.09380308)"
I172012010,3115,Investigate Person,INVESTIGATE PERSON,D4,272,,2017-02-14 10:32:00,2017,2,Tuesday,10,Part Three,WASHINGTON ST,42.33383935,-71.08029038,"(42.33383935, -71.08029038)"
I162045611,2403,Disorderly Conduct,DISTURBING THE PEACE,C11,355,,2016-06-09 10:51:00,2016,6,Thursday,10,Part Two,GIBSON ST,42.29755533,-71.0597091,"(42.29755533, -71.05970910)"
I152061008,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,184,,2015-07-23 20:36:00,2015,7,Thursday,20,Part Two,HUMPHREYS ST,42.31949081,-71.06627425,"(42.31949081, -71.06627425)"
I162094720,1415,Vandalism,GRAFFITI,E13,642,,2016-11-19 11:53:00,2016,11,Saturday,11,Part Two,CENTRE ST,42.31322316,-71.11409925,"(42.31322316, -71.11409925)"
I152058592,3502,Missing Person Located,MISSING PERSON - LOCATED,C6,197,,2015-07-15 06:45:00,2015,7,Wednesday,6,Part Three,OLD COLONY AVE,42.33586257,-71.05566936,"(42.33586257, -71.05566936)"
I152070393,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B2,310,,2015-08-25 11:00:00,2015,8,Tuesday,11,Part Two,,,,"(0.00000000, 0.00000000)"
I162088985,3301,Verbal Disputes,VERBAL DISPUTE,B2,312,,2016-10-31 02:26:00,2016,10,Monday,2,Part Three,HOLLANDER ST,42.3156892,-71.08951391,"(42.31568920, -71.08951391)"
I182065428,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,349,,2018-08-16 15:11:00,2018,8,Thursday,15,Part One,ADAMS ST,42.30385443,-71.06087585,"(42.30385443, -71.06087585)"
I172037381,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,116,,2017-05-12 16:00:00,2017,5,Friday,16,Part Three,ESSEX ST,42.35235362,-71.05815283,"(42.35235362, -71.05815283)"
I152091383,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,26,,2015-11-03 18:13:00,2015,11,Tuesday,18,Part Three,BORDER ST,42.38198241,-71.04033333,"(42.38198241, -71.04033333)"
I162013581,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,362,,2016-02-20 16:18:00,2016,2,Saturday,16,Part Two,KENWOOD ST,42.29191251,-71.07049431,"(42.29191251, -71.07049431)"
I172001666,2647,Other,THREATS TO DO BODILY HARM,C11,337,,2017-01-06 21:00:00,2017,1,Friday,21,Part Two,DEVON ST,42.30724276,-71.07558677,"(42.30724276, -71.07558677)"
I162026942,619,Larceny,LARCENY ALL OTHERS,E5,731,,2016-04-07 16:00:00,2016,4,Thursday,16,Part One,VARICK RD,42.28445283,-71.16817934,"(42.28445283, -71.16817934)"
I182038664,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,A1,77,,2018-05-21 11:55:00,2018,5,Monday,11,Part Three,CONGRESS ST,42.36139413,-71.0576869,"(42.36139413, -71.05768690)"
I182017670,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2018-03-08 09:12:00,2018,3,Thursday,9,Part Three,WASHINGTON ST,42.35272948,-71.06256291,"(42.35272948, -71.06256291)"
I162062581,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,611,,2016-08-04 17:45:00,2016,8,Thursday,17,Part Three,HUNTINGTON AVE,42.33332888,-71.10659534,"(42.33332888, -71.10659534)"
I182032395,3502,Missing Person Located,MISSING PERSON - LOCATED,B2,281,,2018-04-30 16:49:00,2018,4,Monday,16,Part Three,GREENVILLE ST,42.32696802,-71.08051941,"(42.32696802, -71.08051941)"
I182029977,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,470,,2018-04-21 23:44:00,2018,4,Saturday,23,Part Three,WALK HILL ST,42.28184113,-71.09871709,"(42.28184113, -71.09871709)"
