INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,SHOOTING_FLAG,Lat_Clean,Long_Clean,Lat_Missing_Flag,Long_Missing_Flag,TIME_OF_DAY,IS_WEEKEND,CRIME_SEVERITY,SEASON,QUARTER,DAY_NUMBER,OFFENSE_CATEGORY,HIGH_RISK_HOUR,DISTRICT_Index,TIME_OF_DAY_Index,SEASON_Index,OFFENSE_CATEGORY_Index,UCR_PART_Index
I152106826,2647,Other,THREATS TO DO BODILY HARM,C6,222,,2015-12-27T19:03:00.000-05:00,2015,12,Sunday,19,Part Two,E THIRD ST,42.33644187,-71.03898738,0,42.33644187,-71.03898738,0,0,Evening,1,2,Winter,4,7,Other,0,5.0,1.0,3.0,0.0,1.0
I172074305,3501,Missing Person Reported,MISSING PERSON,B2,308,,2017-09-07T19:44:00.000-04:00,2017,9,Thursday,19,Part Three,WALNUT AVE,42.31966035,-71.08946896,0,42.31966035,-71.08946896,0,0,Evening,0,1,Fall,3,4,Other,0,0.0,1.0,2.0,0.0,0.0
I172094722,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,317,,2017-11-13T01:12:00.000-05:00,2017,11,Monday,1,Part Three,HOMESTEAD ST,42.31127726,-71.08909334,0,42.31127726,-71.08909334,0,0,Night,0,1,Fall,4,1,Traffic,1,0.0,0.0,2.0,2.0,0.0
I182044671,3208,Property Lost,PROPERTY - MISSING,A1,127,,2018-06-09T11:12:00.000-04:00,2018,6,Saturday,11,Part Three,WASHINGTON ST,42.34876087,-71.06408261,0,42.34876087,-71.06408261,0,0,Morning,1,1,Summer,2,6,Other,0,4.0,3.0,0.0,0.0,0.0
I152104813,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,94,,2015-12-20T01:55:00.000-05:00,2015,12,Sunday,1,Part One,CLINTON ST,42.360795,-71.053757,0,42.360795,-71.053757,0,0,Night,1,3,Winter,4,7,Violent,1,4.0,0.0,3.0,3.0,2.0
I152060457,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,C11,247,,2015-07-22T06:01:00.000-04:00,2015,7,Wednesday,6,Part Two,TREADWAY RD,42.31323306,-71.05813011,0,42.31323306,-71.05813011,0,0,Morning,0,2,Summer,3,3,Drug,0,1.0,3.0,0.0,4.0,1.0
I152064754,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,259,,2015-08-05T13:40:00.000-04:00,2015,8,Wednesday,13,Part Three,MAGNOLIA ST,42.31478432,-71.07160997,0,42.31478432,-71.07160997,0,0,Afternoon,0,1,Summer,3,3,Traffic,0,0.0,2.0,0.0,2.0,0.0
I172096584,616,Larceny,LARCENY THEFT OF BICYCLE,D14,796,,2017-11-19T13:54:00.000-05:00,2017,11,Sunday,13,Part One,COMMONWEALTH AVE,42.35124218,-71.12616899,0,42.35124218,-71.12616899,0,0,Afternoon,1,3,Fall,4,7,Property,0,8.0,2.0,2.0,1.0,2.0
I172076587,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,B3,465,,2017-09-15T02:05:00.000-04:00,2017,9,Friday,2,Part Three,BLUE HILL AVE,42.28482577,-71.09137369,0,42.28482577,-71.09137369,0,0,Night,0,1,Fall,3,5,Other,1,2.0,0.0,2.0,0.0,0.0
I172022104,724,Auto Theft,AUTO THEFT,B2,319,,2017-03-20T20:00:00.000-04:00,2017,3,Monday,20,Part One,SEAVER ST,42.30603974,-71.0862124,0,42.30603974,-71.0862124,0,0,Evening,0,3,Spring,1,1,Property,0,0.0,1.0,1.0,1.0,2.0
I162035068,3115,Investigate Person,INVESTIGATE PERSON,D4,591,,2016-05-06T02:09:00.000-04:00,2016,5,Friday,2,Part Three,HEMENWAY ST,42.34428082,-71.08982188,0,42.34428082,-71.08982188,0,0,Night,0,1,Spring,2,5,Other,1,3.0,0.0,1.0,0.0,0.0
I172041427,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,201,,2017-05-25T17:57:00.000-04:00,2017,5,Thursday,17,Part Three,B ST,42.34079771,-71.05392145,0,42.34079771,-71.05392145,0,0,Evening,0,1,Spring,2,4,Traffic,0,5.0,1.0,1.0,2.0,0.0
I172097041,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,959,,2017-11-21T02:02:00.000-05:00,2017,11,Tuesday,2,Part Three,DORCHESTER AVE,42.28624029,-71.06416775,0,42.28624029,-71.06416775,0,0,Night,0,1,Fall,4,2,Other,1,1.0,0.0,2.0,0.0,0.0
I182044626,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,C11,362,,2018-06-09T09:57:00.000-04:00,2018,6,Saturday,9,Part Two,LYNDHURST ST,42.29290563,-71.06955795,0,42.29290563,-71.06955795,0,0,Morning,1,2,Summer,2,6,Drug,0,1.0,3.0,0.0,4.0,1.0
I172037866,3112,Landlord/Tenant Disputes,LANDLORD - TENANT SERVICE,B3,476,,2017-05-14T12:01:00.000-04:00,2017,5,Sunday,12,Part Three,REXFORD ST,42.26984836,-71.09532394,0,42.26984836,-71.09532394,0,0,Afternoon,1,1,Spring,2,7,Other,0,2.0,2.0,1.0,0.0,0.0
