INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,SHOOTING_FLAG,Lat_Clean,Long_Clean,Lat_Missing_Flag,Long_Missing_Flag,TIME_OF_DAY,IS_WEEKEND,CRIME_SEVERITY,SEASON,QUARTER,DAY_NUMBER,OFFENSE_CATEGORY,HIGH_RISK_HOUR,DISTRICT_Index,TIME_OF_DAY_Index,SEASON_Index,OFFENSE_CATEGORY_Index,UCR_PART_Index
I182050658,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B3,411,,2018-06-28T09:55:00.000-04:00,2018,6,Thursday,9,Part One,MARYKNOLL TER,42.2759894,-71.07865649,0,42.2759894,-71.07865649,0,0,Morning,0,3,Summer,2,4,Property,0,2.0,3.0,0.0,1.0,2.0
I172099998,3115,Investigate Person,INVESTIGATE PERSON,C6,925,,2017-12-02T07:16:00.000-05:00,2017,12,Saturday,7,Part Three,W NINTH ST,42.33357533,-71.0529755,0,42.33357533,-71.0529755,0,0,Morning,1,1,Winter,4,6,Other,0,5.0,3.0,3.0,0.0,0.0
I152091383,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,26,,2015-11-03T18:13:00.000-05:00,2015,11,Tuesday,18,Part Three,BORDER ST,42.38198241,-71.04033333,0,42.38198241,-71.04033333,0,0,Evening,0,1,Fall,4,2,Other,0,10.0,1.0,2.0,0.0,0.0
I182048833,3115,Investigate Person,INVESTIGATE PERSON,B3,464,,2018-06-22T15:09:00.000-04:00,2018,6,Friday,15,Part Three,BROOKVIEW ST,42.2887411,-71.09117797,0,42.2887411,-71.09117797,0,0,Afternoon,0,1,Summer,2,5,Other,0,2.0,2.0,0.0,0.0,0.0
I172062656,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,481,,2017-08-01T15:53:00.000-04:00,2017,8,Tuesday,15,Part One,CUMMINS HWY,42.26911567,-71.09647122,0,42.26911567,-71.09647122,0,0,Afternoon,0,3,Summer,3,2,Property,0,7.0,2.0,0.0,1.0,2.0
I172064669,617,Larceny,LARCENY THEFT FROM BUILDING,C11,454,,2017-08-06T13:00:00.000-04:00,2017,8,Sunday,13,Part One,WASHINGTON ST,42.30022551,-71.07468313,0,42.30022551,-71.07468313,0,0,Afternoon,1,3,Summer,3,7,Property,0,1.0,2.0,0.0,1.0,2.0
I162001735,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,319,,2016-01-07T07:50:00.000-05:00,2016,1,Thursday,7,Part Three,BLUE HILL AVE,42.30557347,-71.08471265,0,42.30557347,-71.08471265,0,0,Morning,0,1,Winter,1,4,Traffic,0,0.0,3.0,3.0,2.0,0.0
I162032631,724,Auto Theft,AUTO THEFT,C11,451,,2016-04-26T22:00:00.000-04:00,2016,4,Tuesday,22,Part One,WASHINGTON ST,42.29526287,-71.07207439,0,42.29526287,-71.07207439,0,0,Night,0,3,Spring,2,2,Property,1,1.0,0.0,1.0,1.0,2.0
I162099246,3805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,D14,779,,2016-12-05T19:19:00.000-05:00,2016,12,Monday,19,Part Three,ARLINGTON ST,42.35164054,-71.15192725,0,42.35164054,-71.15192725,0,0,Evening,0,1,Winter,4,1,Traffic,0,8.0,1.0,3.0,2.0,0.0
I182022959,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,E18,502,,2018-03-28T02:18:00.000-04:00,2018,3,Wednesday,2,Part Three,HYDE PARK AVE,42.28519412,-71.11881058,0,42.28519412,-71.11881058,0,0,Night,0,1,Spring,1,3,Traffic,1,7.0,0.0,1.0,2.0,0.0
I172034769,3201,Property Lost,PROPERTY - LOST,D14,793,,2017-05-03T17:48:00.000-04:00,2017,5,Wednesday,17,Part Three,COMMONWEALTH AVE,42.34838862,-71.13455322,0,42.34838862,-71.13455322,0,0,Evening,0,1,Spring,2,3,Other,0,8.0,1.0,1.0,0.0,0.0
I152055529,2610,Other,TRESPASSING,A15,38,,2015-07-05T16:25:00.000-04:00,2015,7,Sunday,16,Part Two,NINTH ST,42.37558378,-71.05182911,0,42.37558378,-71.05182911,0,0,Afternoon,1,2,Summer,3,7,Other,0,11.0,2.0,0.0,0.0,1.0
I172060646,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,271,,2017-07-26T12:20:00.000-04:00,2017,7,Wednesday,12,Part One,E LENOX ST,42.33437384,-71.07793188,0,42.33437384,-71.07793188,0,0,Afternoon,0,3,Summer,3,3,Property,0,3.0,2.0,0.0,1.0,2.0
I162025251,3125,Warrant Arrests,WARRANT ARREST,A1,102,,2016-04-01T16:46:00.000-04:00,2016,4,Friday,16,Part Three,TREMONT ST,42.356585,-71.06189505,0,42.356585,-71.06189505,0,0,Afternoon,0,1,Spring,2,5,Other,0,4.0,2.0,1.0,0.0,0.0
I172105977,3114,Investigate Property,INVESTIGATE PROPERTY,B2,258,,2017-12-24T05:31:00.000-05:00,2017,12,Sunday,5,Part Three,COLUMBIA RD,42.315969,-71.066253,0,42.315969,-71.066253,0,0,Night,1,1,Winter,4,7,Other,0,0.0,0.0,3.0,0.0,0.0
I182057559,3810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING  BICYCLE - INJURY,A15,51,,2018-07-21T19:53:00.000-04:00,2018,7,Saturday,19,Part Three,MAIN ST,42.38409897,-71.0729656,0,42.38409897,-71.0729656,0,0,Evening,1,1,Summer,3,6,Traffic,0,11.0,1.0,0.0,2.0,0.0
I152106169,617,Larceny,LARCENY THEFT FROM BUILDING,D4,143,,2015-12-24T20:01:00.000-05:00,2015,12,Thursday,20,Part One,BOYLSTON ST,42.34862382,-71.08277637,0,42.34862382,-71.08277637,0,0,Evening,0,3,Winter,4,4,Property,0,3.0,1.0,3.0,1.0,2.0
I172107476,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,572,,2017-12-30T23:46:00.000-05:00,2017,12,Saturday,23,Part One,DIXWELL ST,42.31433402,-71.09791405,0,42.31433402,-71.09791405,0,0,Night,1,3,Winter,4,6,Property,1,6.0,0.0,3.0,1.0,2.0
I182023350,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C6,173,,2018-03-21T00:00:00.000-04:00,2018,3,Wednesday,0,Part Two,DORCHESTER AVE,42.34210856,-71.05720719,0,42.34210856,-71.05720719,0,0,Night,0,2,Spring,1,3,Other,1,5.0,0.0,1.0,0.0,1.0
I182014242,3305,Assembly or Gathering Violations,DEMONSTRATIONS/RIOT,A1,114,,2018-02-23T08:20:00.000-05:00,2018,2,Friday,8,Part Three,CONGRESS ST,42.3530074,-71.05289344,0,42.3530074,-71.05289344,0,0,Morning,0,1,Winter,1,5,Other,0,4.0,3.0,3.0,0.0,0.0
I162078220,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,758,,2016-09-21T09:00:00.000-04:00,2016,9,Wednesday,9,Part One,BRACKETT ST,42.35110337,-71.16524536,0,42.35110337,-71.16524536,0,0,Morning,0,3,Fall,3,3,Property,0,8.0,3.0,2.0,1.0,2.0
I182001071,3125,Warrant Arrests,WARRANT ARREST,A1,63,,2018-01-05T10:18:00.000-05:00,2018,1,Friday,10,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,0,42.36183857,-71.05976489,0,0,Morning,0,1,Winter,1,5,Other,0,4.0,3.0,3.0,0.0,0.0
I182070453,1402,Vandalism,VANDALISM,E5,562,,2018-09-02T02:00:00.000-04:00,2018,9,Sunday,2,Part Two,WASHINGTON ST,42.28788933,-71.12658585,0,42.28788933,-71.12658585,0,0,Night,1,2,Fall,3,7,Property,1,9.0,0.0,2.0,1.0,1.0
I152065304,3125,Warrant Arrests,WARRANT ARREST,E5,559,,2015-08-07T13:50:00.000-04:00,2015,8,Friday,13,Part Three,UNKNOWN,,,0,42.18246397604247,-70.85870749757449,1,1,Afternoon,0,1,Summer,3,5,Other,0,9.0,2.0,0.0,0.0,0.0
I172095070,560,Other Burglary,BURGLARY - OTHER - FORCE,B3,565,,2017-11-10T15:00:00.000-05:00,2017,11,Friday,15,Part One,AMERICAN LEGION HWY,42.29385183,-71.09373071,0,42.29385183,-71.09373071,0,0,Afternoon,0,3,Fall,4,5,Property,0,2.0,2.0,2.0,1.0,2.0
I162073226,2629,Harassment,HARASSMENT,B3,422,,2016-09-08T15:36:00.000-04:00,2016,9,Thursday,15,Part Two,RIVER ST,42.27133005,-71.08299865,0,42.27133005,-71.08299865,0,0,Afternoon,0,2,Fall,3,4,Other,0,2.0,2.0,2.0,0.0,1.0
I152056119,619,Larceny,LARCENY ALL OTHERS,A1,61,,2015-07-07T18:08:00.000-04:00,2015,7,Tuesday,18,Part One,CAUSEWAY ST,42.3653748,-71.06154162,0,42.3653748,-71.06154162,0,0,Evening,0,3,Summer,3,2,Property,0,4.0,1.0,0.0,1.0,2.0
I162035674,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,"",,2016-05-07T14:30:00.000-04:00,2016,5,Saturday,14,Part Three,UNKNOWN,,,0,42.18246397604247,-70.85870749757449,1,1,Afternoon,1,1,Spring,2,6,Traffic,0,8.0,2.0,1.0,2.0,0.0
I162103125,1402,Vandalism,VANDALISM,B2,297,,2016-12-18T22:30:00.000-05:00,2016,12,Sunday,22,Part Two,MILLS ST,42.32130608,-71.08343731,0,42.32130608,-71.08343731,0,0,Night,1,2,Winter,4,7,Property,1,0.0,0.0,3.0,1.0,1.0
I182009056,311,Robbery,ROBBERY - COMMERCIAL,A1,75,,2018-02-03T18:45:00.000-05:00,2018,2,Saturday,18,Part One,PORTLAND ST,42.3642384,-71.06165515,0,42.3642384,-71.06165515,0,0,Evening,1,3,Winter,1,6,Violent,0,4.0,1.0,3.0,3.0,2.0
I162046022,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,913,,2016-06-11T01:04:00.000-04:00,2016,6,Saturday,1,Part Two,MOUNT VERNON ST,42.31931497,-71.04631265,0,42.31931497,-71.04631265,0,0,Night,1,2,Summer,2,6,Violent,1,5.0,0.0,0.0,3.0,1.0
I172049402,3130,Search Warrants,SEARCH WARRANT,A1,93,,2017-06-20T16:01:00.000-04:00,2017,6,Tuesday,16,Part Three,UNION ST,42.36068787,-71.05687293,0,42.36068787,-71.05687293,0,0,Afternoon,0,1,Summer,2,2,Other,0,4.0,2.0,0.0,0.0,0.0
I162101486,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,414,,2016-12-13T10:51:00.000-05:00,2016,12,Tuesday,10,Part Three,PLEASANT HILL AVE,42.27595944,-71.07204816,0,42.27595944,-71.07204816,0,0,Morning,0,1,Winter,4,2,Traffic,0,2.0,3.0,3.0,2.0,0.0
I162092305,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,468,,2016-11-11T02:37:00.000-05:00,2016,11,Friday,2,Other,BLUE HILL AVE,42.27783207,-71.09355491,0,42.27783207,-71.09355491,0,0,Night,0,0,Fall,4,5,Property,1,2.0,0.0,2.0,1.0,3.0
I172100233,3301,Verbal Disputes,VERBAL DISPUTE,A15,900,,2017-12-02T23:03:00.000-05:00,2017,12,Saturday,23,Part Three,O'REILLY WAY,42.37789565,-71.05840764,0,42.37789565,-71.05840764,0,0,Night,1,1,Winter,4,6,Other,1,11.0,0.0,3.0,0.0,0.0
I152055100,423,Aggravated Assault,ASSAULT - AGGRAVATED,A1,64,,2015-07-04T02:59:00.000-04:00,2015,7,Saturday,2,Part One,FRUIT ST,42.36240281,-71.06954652,0,42.36240281,-71.06954652,0,0,Night,1,3,Summer,3,6,Violent,1,4.0,0.0,0.0,3.0,2.0
I172083126,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E5,550,,2017-10-05T17:10:00.000-04:00,2017,10,Thursday,17,Part Three,HIGHCREST TER,42.27417161,-71.13745025,0,42.27417161,-71.13745025,0,0,Evening,0,1,Fall,4,4,Other,0,9.0,1.0,2.0,0.0,0.0
I172028017,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,67,,2017-04-10T23:31:00.000-04:00,2017,4,Monday,23,Part Three,REVERE ST,42.35954321,-71.06749237,0,42.35954321,-71.06749237,0,0,Night,0,1,Spring,2,1,Other,1,4.0,0.0,1.0,0.0,0.0
I152060197,613,Larceny,LARCENY SHOPLIFTING,A1,120,,2015-07-07T14:30:00.000-04:00,2015,7,Tuesday,14,Part One,BOYLSTON ST,42.3520464,-71.06992523,0,42.3520464,-71.06992523,0,0,Afternoon,0,3,Summer,3,2,Property,0,4.0,2.0,0.0,1.0,2.0
I172024147,611,Larceny,LARCENY PICK-POCKET,D4,620,,2017-03-28T16:45:00.000-04:00,2017,3,Tuesday,16,Part One,MASSACHUSETTS AVE,42.3465558,-71.08737452,0,42.3465558,-71.08737452,0,0,Afternoon,0,3,Spring,1,2,Property,0,3.0,2.0,1.0,1.0,2.0
I162079613,423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,311,,2016-09-29T02:49:00.000-04:00,2016,9,Thursday,2,Part One,MAYWOOD ST,42.31679542,-71.07964562,0,42.31679542,-71.07964562,0,0,Night,0,3,Fall,3,4,Violent,1,0.0,0.0,2.0,3.0,2.0
I182005127,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,A1,63,,2018-01-20T01:58:00.000-05:00,2018,1,Saturday,1,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,0,42.36183857,-71.05976489,0,0,Night,1,1,Winter,1,6,Other,1,4.0,0.0,3.0,0.0,0.0
I182040999,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,117,,2018-05-28T19:03:00.000-04:00,2018,5,Monday,19,Part Two,BOYLSTON ST,42.3523414,-71.06296987,0,42.3523414,-71.06296987,0,0,Evening,0,2,Spring,2,1,Drug,0,4.0,1.0,1.0,4.0,1.0
I182044143,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B2,901,,2018-06-04T12:00:00.000-04:00,2018,6,Monday,12,Part Two,HORADAN WAY,42.33371742,-71.09665806,0,42.33371742,-71.09665806,0,0,Afternoon,0,2,Summer,2,1,Other,0,0.0,2.0,0.0,0.0,1.0
I172067681,1304,Recovered Stolen Property,PROPERTY - STOLEN THEN RECOVERED,C6,207,,2017-08-17T04:38:00.000-04:00,2017,8,Thursday,4,Part Two,DRY DOCK AVE,42.3447348,-71.02964543,0,42.3447348,-71.02964543,0,0,Night,0,2,Summer,3,4,Other,0,5.0,0.0,0.0,0.0,1.0
I152071306,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,D14,801,,2015-08-28T07:26:00.000-04:00,2015,8,Friday,7,Part Two,FARRINGTON AVE,42.35429484,-71.13190433,0,42.35429484,-71.13190433,0,0,Morning,0,2,Summer,3,5,Other,0,8.0,3.0,0.0,0.0,1.0
I172002012,3301,Verbal Disputes,VERBAL DISPUTE,D4,270,,2017-01-08T12:07:00.000-05:00,2017,1,Sunday,12,Part Three,NORTHAMPTON ST,42.33395125,-71.07538939,0,42.33395125,-71.07538939,0,0,Afternoon,1,1,Winter,1,7,Other,0,3.0,2.0,3.0,0.0,0.0
I162063309,3114,Investigate Property,INVESTIGATE PROPERTY,E5,559,,2016-08-07T09:08:00.000-04:00,2016,8,Sunday,9,Part Three,CLIFTONDALE ST,42.28215569,-71.1309155,0,42.28215569,-71.1309155,0,0,Morning,1,1,Summer,3,7,Other,0,9.0,3.0,0.0,0.0,0.0
I162022509,619,Larceny,LARCENY ALL OTHERS,D4,166,,2016-03-16T18:10:00.000-04:00,2016,3,Wednesday,18,Part One,UNION PARK ST,42.34174227,-71.07011004,0,42.34174227,-71.07011004,0,0,Evening,0,3,Spring,1,3,Property,0,3.0,1.0,1.0,1.0,2.0
I152055557,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E13,648,,2015-07-05T20:47:00.000-04:00,2015,7,Sunday,20,Part Three,SAINT JOSEPH ST,42.30685329,-71.11528757,0,42.30685329,-71.11528757,0,0,Evening,1,1,Summer,3,7,Traffic,0,6.0,1.0,0.0,2.0,0.0
I162089909,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,B2,258,,2016-11-02T19:15:00.000-04:00,2016,11,Wednesday,19,Part Two,MONADNOCK ST,42.31633855,-71.06879992,0,42.31633855,-71.06879992,0,0,Evening,0,2,Fall,4,3,Other,0,0.0,1.0,2.0,0.0,1.0
I152085307,3502,Missing Person Located,MISSING PERSON - LOCATED,C11,347,,2015-10-14T01:11:00.000-04:00,2015,10,Wednesday,1,Part Three,LYON ST,42.30638323,-71.06021218,0,42.30638323,-71.06021218,0,0,Night,0,1,Fall,4,3,Other,1,1.0,0.0,2.0,0.0,0.0
I162048802,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,246,,2016-06-20T05:32:00.000-04:00,2016,6,Monday,5,Part Two,ROMSEY ST,42.31619008,-71.05587937,0,42.31619008,-71.05587937,0,0,Night,0,2,Summer,2,1,Violent,0,1.0,0.0,0.0,3.0,1.0
I152095574,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,578,,2015-11-17T08:25:00.000-05:00,2015,11,Tuesday,8,Part One,SHERIDAN ST,42.32008171,-71.10663225,0,42.32008171,-71.10663225,0,0,Morning,0,3,Fall,4,2,Property,0,6.0,3.0,2.0,1.0,2.0
I162010625,3114,Investigate Property,INVESTIGATE PROPERTY,C6,228,,2016-01-11T10:00:00.000-05:00,2016,1,Monday,10,Part Three,E BROADWAY,42.3357882,-71.02612007,0,42.3357882,-71.02612007,0,0,Morning,0,1,Winter,1,1,Other,0,5.0,3.0,3.0,0.0,0.0
I182046140,3410,Towed,TOWED MOTOR VEHICLE,B2,326,,2018-06-14T08:42:00.000-04:00,2018,6,Thursday,8,Part Three,DUNKELD ST,42.31277782,-71.07562922,0,42.31277782,-71.07562922,0,0,Morning,0,1,Summer,2,4,Other,0,0.0,3.0,0.0,0.0,0.0
I152073689,2647,Other,THREATS TO DO BODILY HARM,E5,680,,2015-09-04T17:00:00.000-04:00,2015,9,Friday,17,Part Two,COHASSET ST,42.2850392,-71.13093078,0,42.2850392,-71.13093078,0,0,Evening,0,2,Fall,3,5,Other,0,9.0,1.0,2.0,0.0,1.0
I172013733,1402,Vandalism,VANDALISM,B3,459,,2017-02-19T21:37:00.000-05:00,2017,2,Sunday,21,Part Two,COLUMBIA RD,42.30391611,-71.08259618,0,42.30391611,-71.08259618,0,0,Night,1,2,Winter,1,7,Property,0,2.0,0.0,3.0,1.0,1.0
I182041592,3115,Investigate Person,INVESTIGATE PERSON,A1,120,,2018-05-30T13:05:00.000-04:00,2018,5,Wednesday,13,Part Three,PARK PLZ,42.35143483,-71.06969334,0,42.35143483,-71.06969334,0,0,Afternoon,0,1,Spring,2,3,Other,0,4.0,2.0,1.0,0.0,0.0
I172053066,3207,Property Found,PROPERTY - FOUND,D14,775,,2017-07-01T16:05:00.000-04:00,2017,7,Saturday,16,Part Three,CHESTNUT HILL AVE,42.34277452,-71.15374397,0,42.34277452,-71.15374397,0,0,Afternoon,1,1,Summer,3,6,Other,0,8.0,2.0,0.0,0.0,0.0
I172061723,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C11,348,,2017-07-29T17:59:00.000-04:00,2017,7,Saturday,17,Part Two,DORCHESTER AVE,42.30426572,-71.05917938,0,42.30426572,-71.05917938,0,0,Evening,1,2,Summer,3,6,Drug,0,1.0,1.0,0.0,4.0,1.0
I162052917,3207,Property Found,PROPERTY - FOUND,A1,109,,2016-07-04T00:59:00.000-04:00,2016,7,Monday,0,Part Three,FRANKLIN ST,42.35633324,-71.05440282,0,42.35633324,-71.05440282,0,0,Night,0,1,Summer,3,1,Other,1,4.0,0.0,0.0,0.0,0.0
I182030279,3805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,C6,175,,2018-04-23T10:40:00.000-04:00,2018,4,Monday,10,Part Three,GIBSON ST,42.29755533,-71.0597091,0,42.29755533,-71.0597091,0,0,Morning,0,1,Spring,2,1,Traffic,0,5.0,3.0,1.0,2.0,0.0
I172021740,2629,Harassment,HARASSMENT,B2,291,,2017-03-22T09:18:00.000-04:00,2017,3,Wednesday,9,Part Two,LINWOOD ST,42.32783258,-71.09262005,0,42.32783258,-71.09262005,0,0,Morning,0,2,Spring,1,3,Other,0,0.0,3.0,1.0,0.0,1.0
I162099075,617,Larceny,LARCENY THEFT FROM BUILDING,D14,773,,2016-12-02T07:00:00.000-05:00,2016,12,Friday,7,Part One,COMMONWEALTH AVE,42.33991974,-71.1587571,0,42.33991974,-71.1587571,0,0,Morning,0,3,Winter,4,5,Property,0,8.0,3.0,3.0,1.0,2.0
I172098426,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,263,,2017-11-26T22:52:00.000-05:00,2017,11,Sunday,22,Part Three,BLUE HILL AVE,42.32324394,-71.07642483,0,42.32324394,-71.07642483,0,0,Night,1,1,Fall,4,7,Other,1,0.0,0.0,2.0,0.0,0.0
I162067529,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,134,,2016-08-10T02:00:00.000-04:00,2016,8,Wednesday,2,Part Two,BOYLSTON ST,42.3503787,-71.07626098,0,42.3503787,-71.07626098,0,0,Night,0,2,Summer,3,3,Violent,1,3.0,0.0,0.0,3.0,1.0
I162009157,3201,Property Lost,PROPERTY - LOST,B2,612,,2016-02-01T10:00:00.000-05:00,2016,2,Monday,10,Part Three,LONGWOOD AVE,42.33744152,-71.10428096,0,42.33744152,-71.10428096,0,0,Morning,0,1,Winter,1,1,Other,0,0.0,3.0,3.0,0.0,0.0
I182021039,3301,Verbal Disputes,VERBAL DISPUTE,C11,340,,2018-03-20T18:31:00.000-04:00,2018,3,Tuesday,18,Part Three,FOX ST,42.30609597,-71.06425709,0,42.30609597,-71.06425709,0,0,Evening,0,1,Spring,1,2,Other,0,1.0,1.0,1.0,0.0,0.0
I152054433,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,366,,2015-06-27T19:00:00.000-04:00,2015,6,Saturday,19,Part Three,EDWIN ST,42.28890049,-71.06266918,0,42.28890049,-71.06266918,0,0,Evening,1,1,Summer,2,6,Traffic,0,1.0,1.0,0.0,2.0,0.0
I182069199,617,Larceny,LARCENY THEFT FROM BUILDING,A1,111,,2018-08-29T01:32:00.000-04:00,2018,8,Wednesday,1,Part One,BOYLSTON ST,42.35232371,-71.06400187,0,42.35232371,-71.06400187,0,0,Night,0,3,Summer,3,3,Property,1,4.0,0.0,0.0,1.0,2.0
I162087416,3125,Warrant Arrests,WARRANT ARREST,A1,77,,2016-10-25T10:25:00.000-04:00,2016,10,Tuesday,10,Part Three,CONGRESS ST,42.36139413,-71.0576869,0,42.36139413,-71.0576869,0,0,Morning,0,1,Fall,4,2,Other,0,4.0,3.0,2.0,0.0,0.0
I152063444,3301,Verbal Disputes,VERBAL DISPUTE,B3,432,,2015-08-01T04:38:00.000-04:00,2015,8,Saturday,4,Part Three,WOODROW AVE,42.28756451,-71.08223781,0,42.28756451,-71.08223781,0,0,Night,1,1,Summer,3,6,Other,0,2.0,0.0,0.0,0.0,0.0
I152083390,617,Larceny,LARCENY THEFT FROM BUILDING,C6,192,,2015-10-07T13:51:00.000-04:00,2015,10,Wednesday,13,Part One,OLD COLONY AVE,42.32890929,-71.05260009,0,42.32890929,-71.05260009,0,0,Afternoon,0,3,Fall,4,3,Property,0,5.0,2.0,2.0,1.0,2.0
I162101024,724,Auto Theft,AUTO THEFT,D4,"",,2016-12-10T20:00:00.000-05:00,2016,12,Saturday,20,Part One,UNKNOWN,,,0,42.18246397604247,-70.85870749757449,1,1,Evening,1,3,Winter,4,6,Property,0,3.0,1.0,3.0,1.0,2.0
I152061786,1402,Vandalism,VANDALISM,B3,444,,2015-07-25T00:00:00.000-04:00,2015,7,Saturday,0,Part Two,ESMOND ST,42.29861988,-71.08511004,0,42.29861988,-71.08511004,0,0,Night,1,2,Summer,3,6,Property,1,2.0,0.0,0.0,1.0,1.0
I172072238,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,C6,"",,2017-08-31T17:40:00.000-04:00,2017,8,Thursday,17,Part Three,UNKNOWN,,,0,42.18246397604247,-70.85870749757449,1,1,Evening,0,1,Summer,3,4,Traffic,0,5.0,1.0,0.0,2.0,0.0
I162004122,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,219,,2016-01-15T19:42:00.000-05:00,2016,1,Friday,19,Part Three,E EIGHTH ST,42.33129177,-71.04539502,0,42.33129177,-71.04539502,0,0,Evening,0,1,Winter,1,5,Traffic,0,5.0,1.0,3.0,2.0,0.0
I162098602,801,Simple Assault,ASSAULT - SIMPLE,C6,223,,2016-11-20T10:58:00.000-05:00,2016,11,Sunday,10,Part Two,E THIRD ST,42.33658292,-71.03027628,0,42.33658292,-71.03027628,0,0,Morning,1,2,Fall,4,7,Violent,0,5.0,3.0,2.0,3.0,1.0
I182036067,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,903,,2018-05-11T22:45:00.000-04:00,2018,5,Friday,22,Part Three,HAMMOND ST,42.33705178,-71.08376738,0,42.33705178,-71.08376738,0,0,Night,0,1,Spring,2,5,Traffic,1,3.0,0.0,1.0,2.0,0.0
I182070567,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,UNKNOWN,"",,2018-09-02T14:25:00.000-04:00,2018,9,Sunday,14,Part Two,UNKNOWN,42.34834528,-71.1499187,0,42.34834528,-71.1499187,0,0,Afternoon,1,2,Fall,3,7,Other,0,12.0,2.0,2.0,0.0,1.0
I172000870,3301,Verbal Disputes,VERBAL DISPUTE,E18,542,,2017-01-04T11:44:00.000-05:00,2017,1,Wednesday,11,Part Three,RIVER ST,42.25477484,-71.12838562,0,42.25477484,-71.12838562,0,0,Morning,0,1,Winter,1,3,Other,0,7.0,3.0,3.0,0.0,0.0
I162034168,3410,Towed,TOWED MOTOR VEHICLE,B2,320,,2016-05-02T17:39:00.000-04:00,2016,5,Monday,17,Part Three,MAPLE ST,42.30978746,-71.08503096,0,42.30978746,-71.08503096,0,0,Evening,0,1,Spring,2,1,Other,0,0.0,1.0,1.0,0.0,0.0
I152097944,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,605,,2015-11-26T02:20:00.000-05:00,2015,11,Thursday,2,Part Two,PARKER HILL AVE,42.33093363,-71.10956443,0,42.33093363,-71.10956443,0,0,Night,0,2,Fall,4,4,Violent,1,0.0,0.0,2.0,3.0,1.0
I162010894,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,940,,2016-02-10T10:53:00.000-05:00,2016,2,Wednesday,10,Part One,GARFIELD AVE,42.24448261,-71.1189921,0,42.24448261,-71.1189921,0,0,Morning,0,3,Winter,1,3,Property,0,7.0,3.0,3.0,1.0,2.0
I162032757,3125,Warrant Arrests,WARRANT ARREST,E13,582,,2016-04-27T18:00:00.000-04:00,2016,4,Wednesday,18,Part Three,CENTRE ST,42.32227033,-71.10889634,0,42.32227033,-71.10889634,0,0,Evening,0,1,Spring,2,3,Other,0,6.0,1.0,1.0,0.0,0.0
